,code,Lat,Lon,he,geometry,dist,dist_to_france
1672,ARKI,38.755056633,-336.966390969,42.5844086,POINT (2564089.628462269 4314193.17005004),618.5638910574438,1546511.5163762954
1701,ARP8,27.838366409,-97.059233688,-16.4008279,POINT (-10804584.470933504 3098952.7731664516),473.2417021838429,2375023.330479196
1707,ARRA,38.49276271,-8.961096035,409.679177,POINT (-997544.6475658229 4284994.744103509),553.453195374069,962975.7017806747
1713,ARSE,44.773062197,-1.141564603,61.1765357,POINT (-127078.39031358549 4984114.485025607),502.175465219645,0.0
1720,ARST,36.41559198,-324.114855464,31.1802694,POINT (3994716.0167905423 4053765.1561492174),967.9095771071986,2999082.938828076
1744,ASAH,50.905017369,-217.847703157,61.0688749,POINT (15824321.299657024 5666720.612339827),910.8620848015661,8206929.1725437455
1752,ASCN,-7.951328588,-14.412130862,106.2606357,POINT (-1604351.0688038627 -885137.849546159),3.945288486869188,4357992.0276425285
1782,AST5,36.548605018,-333.649058933,64.9784022,POINT (2933373.341502002 4068572.0998082436),234.64605690423224,1969889.9719721416
1790,ASTY,36.545132611,-333.64667855,124.2868253,POINT (2933638.3245254545 4068185.553229176),196.62984660027618,1970263.0828993055
1817,ATIC,-16.231304394,-73.697228349,54.4544192,POINT (-8203937.932686286 -1806860.5400507036),359.62158080530907,2963072.590527541
1860,AUGL,59.370300237,-153.353909664,103.9293204,POINT (-17071279.134954154 6609071.590626609),196.36553974072945,7345113.86664751
1872,AUSV,63.843609558,-22.416882032,76.4221571,POINT (-2495435.8929751236 7107038.106401132),149.00189138895274,2575395.800047309
1883,AV06,54.147179883,-165.765720309,463.0754311,POINT (-18452955.575778086 6027636.492467346),355.45223277862226,7455625.588762011
1888,AV11,59.3706281,-153.354685566,114.8983339,POINT (-17071365.5079697 6609108.0881688185),119.69587905170656,7345198.759315151
1889,AV12,54.210799723,-165.897545696,404.6968684,POINT (-18467630.310732555 6034718.620660496),435.98121930220543,7467692.036454751
1893,AV16,59.385911318,-153.535045,25.3646885,POINT (-17091443.028322343 6610809.408214261),642.2108164455032,7359901.825462844
1894,AV17,59.403946912,-153.45144503,29.3885927,POINT (-17082136.722231608 6612817.121354495),508.4856153316795,7355161.062018051
1898,AV21,59.370298613,-153.353909778,103.9949317,POINT (-17071279.147644576 6609071.409843756),196.3148034697431,7345113.740708574
1930,AVO5,51.503673337,-2.696814449,63.9174055,POINT (-300208.0112266227 5733362.689857941),799.3529572041265,215480.03077022728
1939,AVUN,-15.643583305,-192.906664543,76.8227697,POINT (18600745.01802288 -1741435.7276947554),950.2734286900696,530449.5880287038
1944,AYAN,56.466652746,-221.82427169,60.6197698,POINT (15381651.715458918 6285839.030485323),556.7146548071495,8931436.857827999
1950,AYVL,39.311442884,-333.31382189,54.3373533,POINT (2970691.7584238024 4376129.804195738),192.69921676546542,1932469.7252098527
2205,B515,-16.176652282,-145.569526069,7.7071279,POINT (-16204725.517019244 -1800776.6947720868),537.4701802999227,537.4701802999227
2231,B573,60.014466231,-339.590900382,25.6285865,POINT (2271930.5770249562 6680779.821065033),718.0583821240583,1833522.4256337185
2240,BAB1,2.11679967,-263.328796547,-21.3883682,POINT (10761389.142760908 235641.0613757695),500.74264886033416,4929353.679090037
2248,BAC2,42.839536184,-356.961232468,64.3494856,POINT (338274.0543013706 4768875.353822898),863.1817338901927,0.0
2261,BADO,4.962047277,-77.360713433,19.416308,POINT (-8611755.22676592 552372.5761677898),233.092457681869,2098924.018128242
2288,BAL3,-0.533319725,-261.504131909,-10.9046942,POINT (10964509.88113156 -59368.88021700869),605.04704226803,4761166.535490044
2392,BBAY,48.899077027,-122.769470373,-8.2125175,POINT (-13666634.926882245 5443420.3549067015),218.85012887897935,4552497.952391368
2414,BCCR,50.024402417,-125.243965425,-0.6435613,POINT (-13942094.45604136 5568691.004298244),898.2143266014921,4766904.814450219
2437,BCLI,49.115116798,-123.147133716,-4.9187048,POINT (-13708676.21791629 5467469.792205517),69.26579222780263,4589222.695401515
2443,BCNN,49.183930185,-123.953245074,44.4584099,POINT (-13798412.123811524 5475130.063406118),210.78955676706676,4627454.328887092
2444,BCNS,48.648497088,-123.45099439,3.6470122,POINT (-13742501.833418073 5415525.923694212),305.65322462300816,4552020.1573019475
2465,BCSQ,49.699211167,-123.154021767,-5.910379,POINT (-13709442.992246171 5532490.8799378155),561.8389178443622,4650731.854480936
2466,BCSS,53.253634344,-131.807097725,-0.9263433,POINT (-14672699.001686247 5928167.458065265),362.8199364856322,5400851.18287674
2473,BCUT,40.828498572,-124.082613098,-19.60935,POINT (-13812813.306368139 4545007.670888937),418.2538262688598,3778274.85383308
2489,BDLA,28.972019854,-113.547218887,-30.3421505,POINT (-12640018.587493215 3225150.4973998917),200.9556196167578,2132302.4215526273
2538,BEL2,39.294944745,-336.866666554,50.8634199,POINT (2575190.8995597227 4374293.239763222),263.511185285885,1543926.9630713467
2648,BHVN,39.607965836,-74.207235834,-24.0262323,POINT (-8260711.706217244 4409138.588220896),822.224276009173,2139760.5312597714
2663,BIER,53.374476686,-353.112854339,44.0834239,POINT (766673.5480016218 5941619.566042972),427.9042825008411,424056.92348327703
2697,BIR1,27.48435271,-97.31810951,-21.5827185,POINT (-10833402.395617234 3059544.1484599286),879.2955991256512,2326218.1343024
